x,y
99.8437,118.327
99.8437,118.382
99.8436,118.438
99.8436,118.493
99.8435,118.548
99.8434,118.603
99.8434,118.657
99.8433,118.712
99.8433,118.766
99.8433,118.82
99.8434,118.874
99.8434,118.928
99.8435,118.982
99.8435,119.035
99.8435,119.089
99.8435,119.143
99.8433,119.197
99.843,119.251
99.8426,119.305
99.842,119.36
99.8413,119.416
99.8404,119.473
99.8395,119.53
99.8384,119.588
99.8372,119.647
99.836,119.706
99.8347,119.767
99.8335,119.827
99.8322,119.889
99.8309,119.95
99.8297,120.012
99.8285,120.075
99.8274,120.137
99.8263,120.2
99.8253,120.263
99.8242,120.326
99.8232,120.39
99.8221,120.453
99.821,120.517
99.8199,120.582
99.8186,120.647
99.8173,120.712
99.816,120.778
99.8146,120.845
99.8131,120.913
99.8117,120.981
99.8103,121.05
99.809,121.121
99.8078,121.191
99.8066,121.263
99.8056,121.335
99.8048,121.407
99.804,121.48
99.8034,121.552
99.8029,121.625
99.8025,121.697
99.8022,121.77
99.802,121.842
99.8018,121.914
99.8017,121.986
99.8016,122.057
99.8015,122.129
99.8014,122.201
99.8014,122.273
99.8013,122.345
99.8013,122.417
99.8014,122.489
99.8015,122.561
99.8016,122.634
99.8018,122.707
99.8021,122.78
99.8024,122.853
99.8027,122.926
99.8029,122.999
99.8032,123.072
99.8035,123.145
99.8037,123.218
99.8039,123.291
99.804,123.363
99.8041,123.435
99.8042,123.507
99.8041,123.578
99.8041,123.649
99.8041,123.72
99.804,123.791
99.804,123.861
99.804,123.932
99.804,124.002
99.804,124.072
99.8041,124.142
99.8042,124.212
99.8043,124.282
99.8044,124.351
99.8044,124.42
99.8044,124.489
99.8042,124.558
99.8041,124.627
99.8038,124.695
99.8035,124.763
99.8031,124.83
99.8027,124.898
99.8023,124.966
99.8019,125.034
99.8015,125.102
99.8012,125.171
99.8009,125.24
99.8007,125.311
99.8006,125.381
99.8005,125.452
99.8005,125.524
99.8006,125.596
99.8007,125.669
99.8008,125.741
99.8009,125.814
99.801,125.886
99.801,125.959
99.8009,126.031
99.8009,126.103
99.8007,126.176
99.8005,126.248
99.8003,126.321
99.8001,126.393
99.7999,126.465
99.7996,126.538
99.7994,126.61
99.7992,126.682
99.7991,126.754
99.799,126.826
99.799,126.898
99.799,126.969
99.799,127.04
99.7991,127.111
99.7993,127.182
99.7995,127.252
99.7998,127.322
99.8001,127.392
99.8004,127.462
99.8008,127.532
99.8011,127.601
99.8014,127.67
99.8017,127.74
99.8019,127.809
99.8021,127.878
99.8023,127.947
99.8024,128.016
99.8025,128.085
99.8026,128.153
99.8027,128.222
99.8027,128.29
99.8028,128.358
99.8029,128.426
99.803,128.494
99.8031,128.561
99.8031,128.629
99.8032,128.696
99.8033,128.762
99.8033,128.829
99.8034,128.896
99.8033,128.962
99.8032,129.028
99.803,129.094
99.8028,129.16
99.8025,129.226
99.8021,129.292
99.8016,129.359
99.8011,129.425
99.8005,129.492
99.8,129.558
99.7994,129.625
