y1,x1,wave_ht,tuning_factor
500,500,2.6,0.0225575
500,500,3.1,0.0211543
500,500,2.9,0.0259782
500,500,2.5,0.0286861
500,500,2.5,0.029011
500,500,3.2,0.0246079
500,500,3.1,0.0256087
500,500,3.4,0.0213626
500,500,3.3,0.0270171
500,500,3.2,0.0227728
500,500,3.1,0.0219811
500,500,2.6,0.0249169
500,500,4.4,0.0123232
500,500,4,0.0160304
500,500,3.2,0.0199069
500,500,3,0.0246758
500,500,4.3,0.0199483
500,500,4,0.0213826
500,500,4.2,0.0196583
500,500,3.1,0.0288247
500,500,3.6,0.0170481
500,500,3.5,0.0105129
500,500,3.5,0.0115529
500,500,3.6,0.0134801
500,500,3.5,0.015524
500,500,3.3,0.0161343
500,500,4.1,0.0137251
500,500,2.6,0.015843
500,500,3.7,0.0138114
500,500,2.4,0.0218556
500,500,3.3,0.014634
500,500,2.6,0.0195423
500,500,3.2,0.0204805
500,500,2.9,0.0235984
500,500,2.5,0.0220189
500,500,2.8,0.01181
500,500,1.5,0.0186469
500,500,1.7,0.0323787
500,500,2.1,0.0364196
500,500,2,0.0428103
500,500,2.1,0.0378971
500,500,2.3,0.0352313
500,500,2.1,0.0358445
500,500,2.1,0.0370257
500,500,1.9,0.0226928
500,500,2.5,0.0183544
500,500,2.2,0.0225037
500,500,2.5,0.0231647
500,500,2.2,0.0211461
500,500,3.1,0.0176371
500,500,2.3,0.0191229
500,500,3.1,0.012882
500,500,3.5,0.0284405
500,500,3.5,0.0284405
500,500,3.6,0.0247775
500,500,3.6,0.0215263
500,500,3,0.012202
500,500,4.5,0.0296233
500,500,3.9,0.0271595
500,500,4.3,0.021261
500,500,3.9,0.0287062
500,500,4.3,0.0259188
500,500,4.3,0.022972
500,500,4.6,0.022103
500,500,4.1,0.0244118
500,500,3.9,0.0283541
500,500,4.7,0.0243797
500,500,4.1,0.0254386
500,500,4.3,0.0228539
500,500,3.3,0.0235306
500,500,3.7,0.0190797
500,500,3.2,0.0247328
500,500,4.1,0.0228738
500,500,3.5,0.0262065
500,500,4,0.0278662
500,500,3.3,0.0282918
500,500,3.7,0.0259527
500,500,4,0.0278687
500,500,3.5,0.0297324
500,500,3.4,0.0309587
500,500,3.9,0.0265751
500,500,3.9,0.0175197
500,500,3.4,0.0170913
500,500,3.6,0.0183858
500,500,3.9,0.0103404
500,500,3.4,0.0389379
500,500,4,0.0222238
500,500,4.2,0.0169997
500,500,5.1,0.0156782
500,500,4.3,0.0192527
500,500,4.9,0.0189167
500,500,4.8,0.0195794
500,500,4.3,0.0190136
500,500,4.3,0.0197657
500,500,4.4,0.0186128
500,500,4.8,0.0211421
500,500,4.8,0.0158154
500,500,4.5,0.0185278
500,500,5.6,0.0187831
500,500,6.3,0.0171824
500,500,5.4,0.018648
500,500,6.9,0.011153
500,500,4.6,0.0171575
500,500,5.3,0.0100961
500,500,4.7,0.0129918
500,500,4.1,0.0150197
500,500,5.5,0.00817001
500,500,4,0.0162078
500,500,4,0.0159864
500,500,3.4,0.0181695
500,500,4.4,0.0142159
500,500,3.9,0.0172951
500,500,4.5,0.014073
500,500,4.1,0.0154196
500,500,4.2,0.0144866
500,500,3.6,0.0145587
500,500,3.9,0.0129368
500,500,3.7,0.0177678
500,500,4.1,0.0207145
500,500,4.6,0.0236054
500,500,4.1,0.0299609
500,500,4.1,0.0348875
500,500,5.1,0.0240458
500,500,4.8,0.0196876
500,500,4.4,0.0156657
500,500,5.8,0.0101931
500,500,4.6,0.0111241
500,500,4.7,0.0112649
500,500,4.6,0.00975233
500,500,3.5,0.0120491
500,500,4.5,0.0200964
500,500,4.4,0.0162994
500,500,4.8,0.0156955
500,500,4.5,0.0155343
500,500,4.4,0.0118406
500,500,4.4,0.00956057
500,500,5.3,0.00946284
500,500,4.3,0.0114075
500,500,4.6,0.0130331
500,500,5.1,0.0116965
500,500,5.7,0.00953607
500,500,5.2,0.0114589
500,500,6.2,0.0114681
500,500,6.3,0.0077063
500,500,7,0.0116467
500,500,6.5,0.0131685
500,500,6.2,0.0145633
500,500,6.8,0.012099
500,500,6.7,0.010788
500,500,6.1,0.0133892
500,500,6.7,0.011824
500,500,6.6,0.0166842
500,500,5.7,0.020326
500,500,7.2,0.0166297
500,500,6,0.0237335
500,500,6.2,0.0228144
500,500,6.4,0.0111581
500,500,5.7,0.0218247
500,500,6.2,0.0233306
500,500,5.3,0.0284294
500,500,4.8,0.0297151
500,500,6,0.021741
500,500,5.6,0.0196896
500,500,6,0.0123443
500,500,4.4,0.0115473
500,500,5.8,0.00922615
500,500,5.6,0.0111968
500,500,5.4,0.00952106
500,500,4.7,0.0115426
500,500,5.6,0.00941765
500,500,5.7,0.0107049
500,500,5.7,0.00954306
500,500,5.9,0.00881367
500,500,5.8,0.0124463
500,500,6.1,0.012257
500,500,5.7,0.0161536
500,500,6.3,0.0142785
500,500,4.9,0.0197485
500,500,6.5,0.0153146
500,500,6,0.0151541
500,500,5.8,0.0127111
500,500,6.3,0.0138554
500,500,6.2,0.0113572
500,500,6.4,0.0102408
500,500,6.7,0.0134314
500,500,5.8,0.0188594
500,500,6.9,0.0174703
500,500,6.5,0.0182879
500,500,6.2,0.0181119
500,500,6.3,0.0105841
500,500,7.3,0.0146122
500,500,7.2,0.0150456
500,500,7.4,0.0132834
500,500,8,0.0132911
500,500,6.5,0.0183174
500,500,7,0.0152538
500,500,6.6,0.0141493
500,500,6.1,0.0134787
500,500,5.2,0.0105747
500,500,6.6,0.0100282
500,500,5.3,0.0133796
500,500,7.7,0.011397
500,500,4.7,0.0160547
500,500,5.7,0.0146683
500,500,6.7,0.013966
500,500,6.2,0.0166368
500,500,5,0.0244034
500,500,4.2,0.0303828
500,500,4.9,0.0282532
500,500,4.7,0.0230602
500,500,5.4,0.0210439
500,500,4.3,0.0272499
500,500,5.3,0.0238234
500,500,5.4,0.0217589
500,500,4.2,0.0166635
500,500,5.3,0.0105233
500,500,4.4,0.0110097
500,500,2.8,0.0168596
500,500,3.2,0.0172321
500,500,3,0.0176777
500,500,2.9,0.0193639
500,500,3.1,0.0200266
500,500,3.9,0.0150487
500,500,4.8,0.0114087
500,500,3.2,0.0133822
500,500,3.8,0.0110773
500,500,3.3,0.0116717
500,500,2.9,0.0123777
500,500,2.4,0.0141508
500,500,3,0.0131916
500,500,2.6,0.0178436
500,500,2.8,0.015595
500,500,2.9,0.0165028
500,500,3.6,0.0144755
500,500,3.1,0.0150449
500,500,3.5,0.013499
500,500,3,0.0160752
500,500,2.9,0.0176252
500,500,2.7,0.0177166
500,500,2.8,0.0191938
500,500,2.9,0.0173309
500,500,3,0.019192
500,500,3.3,0.0176397
500,500,3.7,0.0183004
500,500,4.4,0.0184261
500,500,2.9,0.0253956
500,500,3.7,0.0236626
500,500,3.7,0.0243601
500,500,4.5,0.0196508
500,500,3.6,0.0235766
500,500,3.3,0.0146679
500,500,3.1,0.0121751
500,500,3.4,0.0136192
