Timestamp(UTC), Latitude, Longitude, Wave Height(meters), Wave Direction(degrees T), Average Wave Period(seconds), Dominant Wave Period(seconds)
2011-12-02 22:30:00, 36.7927, -122.1375,  1.7,  69,  9.5, 16.0
2011-12-02 23:00:00, 36.7869, -122.1207,  1.8,  53,  8.3,  9.8
2011-12-02 23:30:00, 36.7813, -122.1044,  2.4,  68,  9.4, 14.2
2011-12-03 00:00:00, 36.7757, -122.0884,  2.2, 125,  9.9, 18.3
2011-12-03 00:30:00, 36.7755, -122.0786,  2.8, 135,  6.7, 25.6
2011-12-03 09:30:00, 36.7785, -122.0821,  2.2,  66,  8.3, 21.3
2011-12-03 10:00:00, 36.7814, -122.0908,  2.4,  82,  7.2, 12.8
2011-12-03 19:30:00, 36.7931, -122.1253,  2.6,  30,  8.8, 10.7
2011-12-03 20:00:00, 36.7955, -122.1320,  2.0,  49,  8.1, 12.8
2011-12-03 20:30:00, 36.7982, -122.1399,  2.0,  78,  8.0, 14.2
2011-12-03 21:00:00, 36.8004, -122.1465,  2.5,  58,  8.5, 12.8
2011-12-03 21:30:00, 36.8026, -122.1533,  2.6,  52,  8.3,  9.1
2011-12-03 22:00:00, 36.8049, -122.1598,  2.7,  78,  8.9, 11.6
2011-12-03 22:30:00, 36.8072, -122.1668,  2.1,  67,  8.2, 11.6
2011-12-03 23:00:00, 36.8011, -122.1629,  2.2,  73,  9.1, 14.2
2011-12-03 23:30:00, 36.7959, -122.1478,  1.9,  75,  9.4, 16.0
2011-12-04 00:00:00, 36.7911, -122.1338,  2.0,  63,  8.7, 14.2
2011-12-04 00:30:00, 36.7866, -122.1200,  2.0,  59,  9.3, 12.8
2011-12-04 01:00:00, 36.7816, -122.1059,  1.9,  77,  8.8, 14.2
2011-12-04 01:30:00, 36.7777, -122.0939,  1.6,  63,  8.4, 11.6
2011-12-04 02:00:00, 36.7739, -122.0829,  2.1,  69,  8.3, 14.2
2011-12-04 02:30:00, 36.7776, -122.0791,  1.7,  81,  9.5, 16.0
2011-12-04 03:00:00, 36.7810, -122.0895,  1.8,  73,  7.0, 12.8
