t1,t2,y1,x1,y2,x2, Wave Height(meters),delta_t(sec),delta_d(m),avg_speed(m/s)
2012-01-05 00:00:00,2012-01-05 00:30:00,33.8869,-131.9162,33.8838,-131.9251,3.6,1800,892.246151075027,0.495692306152793
2012-01-05 00:30:00,2012-01-05 01:00:00,33.8838,-131.9251,33.8807,-131.9341,3.6,1800,900.817291314246,0.500454050730137
2012-01-05 01:00:00,2012-01-05 01:30:00,33.8807,-131.9341,33.8776,-131.9433,3.6,1800,917.974368499147,0.509985760277304
2012-01-10 02:30:00,2012-01-10 03:00:00,32.8946,-134.6013,32.8916,-134.6089,3.45,1800,785.084177246673,0.436157876248152
2012-01-10 03:00:00,2012-01-10 03:30:00,32.8916,-134.6089,32.8887,-134.6166,3.65,1800,789.005260038842,0.438336255577135
2012-01-10 03:30:00,2012-01-10 04:00:00,32.8887,-134.6166,32.8856,-134.6246,2.9,1800,823.749264885725,0.457638480492069
2012-01-10 04:00:00,2012-01-10 04:30:00,32.8856,-134.6246,32.8825,-134.6325,2.9,1800,815.278598170666,0.452932554539259
2012-01-10 04:30:00,2012-01-10 05:00:00,32.8825,-134.6325,32.8795,-134.6402,3.2,1800,793.657548410062,0.440920860227812
2012-01-10 05:00:00,2012-01-10 05:30:00,32.8795,-134.6402,32.8766,-134.6476,3.35,1800,763.54337282802,0.424190762682234
2012-01-10 05:30:00,2012-01-10 06:00:00,32.8766,-134.6476,32.8737,-134.6552,3.25,1800,780.579179501067,0.433655099722815
2012-01-10 06:00:00,2012-01-10 06:30:00,32.8737,-134.6552,32.8708,-134.6625,2.9,1800,755.106305749582,0.419503503194212
2012-01-10 08:30:00,2012-01-10 09:00:00,32.8609,-134.688,32.8582,-134.6954,2.45,1800,754.600500989626,0.419222500549792
2012-01-10 09:00:00,2012-01-10 09:30:00,32.8582,-134.6954,32.8549,-134.7038,2.45,1800,867.275510363762,0.481819727979868
2012-01-25 07:30:00,2012-01-25 08:00:00,28.9317,-143.8856,28.9279,-143.8933,2.1,1800,860.851329206389,0.478250738447994
2012-01-25 08:00:00,2012-01-25 08:30:00,28.9279,-143.8933,28.9243,-143.9007,2.2,1800,824.532345756963,0.458073525420535
2012-01-25 08:30:00,2012-01-25 09:00:00,28.9243,-143.9007,28.921,-143.9075,2.35,1800,757.263033461653,0.420701685256474
2012-01-25 09:00:00,2012-01-25 09:30:00,28.921,-143.9075,28.9179,-143.9141,2.15,1800,729.565658277974,0.405314254598875
2012-01-25 09:30:00,2012-01-25 10:00:00,28.9179,-143.9141,28.9141,-143.9218,2.15,1800,860.937609287722,0.478298671826512
2012-01-25 10:00:00,2012-01-25 10:30:00,28.9141,-143.9218,28.9102,-143.93,2.35,1800,909.022223557377,0.505012346420765
2012-01-25 11:00:00,2012-01-25 11:30:00,28.9061,-143.9384,28.9023,-143.9461,2.4,1800,861.01135724096,0.478339642911645
2012-01-25 16:30:00,2012-01-25 17:00:00,28.8573,-144.0392,28.8534,-144.0472,3.25,1800,892.282071555336,0.495712261975187
2012-01-25 17:00:00,2012-01-25 17:30:00,28.8534,-144.0472,28.8495,-144.0555,3.05,1800,918.026371992737,0.510014651107076
