y1,x1,wave_ht,tuning_factor
26.5815,-148.569,6.3,0.0853114
26.575,-148.581,6.25,0.0899324
26.5488,-148.629,7.25,0.0795732
26.5447,-148.637,7.3,0.0692099
26.5404,-148.644,7.7,0.0759458
26.5365,-148.652,7.25,0.0837342
26.5279,-148.667,6.8,0.0974666
26.5238,-148.675,6.35,0.0955672
26.5199,-148.682,5.65,0.0807577
26.5098,-148.701,6.5,0.0551818
26.5065,-148.707,6.2,0.0638472
26.5026,-148.714,5.2,0.0779144
26.4992,-148.721,6.2,0.0772326
26.4954,-148.727,6.45,0.070196
26.4915,-148.735,5.6,0.102109
26.4508,-148.81,4.75,0.0823437
26.3484,-148.882,3.5,0.0849587
26.252,-149.089,3.15,0.0508571
26.2461,-149.102,4.05,0.0601647
26.243,-149.108,3.65,0.0594456
26.2396,-149.116,3.3,0.0621646
26.2363,-149.123,3.7,0.0715885
26.2328,-149.13,4.1,0.110225
26.2292,-149.138,4.05,0.092532
26.2257,-149.145,3.45,0.0640691
26.2076,-149.184,2.7,0.0555977
26.2045,-149.191,2.9,0.0845213
26.2012,-149.198,3.35,0.0955481
26.144,-149.321,2.9,0.0825618
26.1144,-149.385,3.05,0.0584688
26.1114,-149.391,3.3,0.066815
26.0352,-149.555,3.15,0.100728
26.0321,-149.561,3.25,0.0576511
26.029,-149.568,3.3,0.067509
26.0257,-149.576,3.6,0.107593
25.9298,-149.813,3.3,0.115128
25.9271,-149.819,2.8,0.0580225
25.9242,-149.826,2.9,0.112942
25.9101,-149.884,3.25,0.073858
25.9095,-149.893,3.1,0.0950011
25.9093,-149.901,2.95,0.0732049
25.9386,-150.011,3.75,0.127992
25.936,-150.019,3.85,0.114513
25.9338,-150.027,3.8,0.0605497
25.9326,-150.034,3.55,0.0672098
25.9319,-150.049,2.9,0.059449
25.9329,-150.056,3.05,0.0660824
25.9346,-150.065,3.25,0.148324
25.9364,-150.073,3.25,0.117542
25.958,-150.136,3.6,0.0679705
25.9602,-150.144,3.5,0.0958517
25.9619,-150.151,3.15,0.05216
25.9629,-150.183,3.3,0.0560406
25.9621,-150.19,3.25,0.126036
25.9179,-150.278,3.05,0.117591
25.8978,-150.309,3.2,0.110836
25.8934,-150.316,2.8,0.086651
25.8886,-150.323,2.8,0.0830017
25.8594,-150.368,3.15,0.110604
25.8517,-150.379,3.25,0.0498955
25.8479,-150.385,3.05,0.12026
25.8439,-150.391,3.3,0.0624677
25.7994,-150.459,3.35,0.0580555
25.7952,-150.466,3.4,0.119011
25.6105,-150.748,3.15,0.0750613
25.6056,-150.756,3.1,0.0830428
25.6014,-150.762,3.3,0.0575319
25.5971,-150.769,3.35,0.0852263
25.5929,-150.776,3.35,0.0530999
25.5889,-150.782,3.4,0.0750868
25.585,-150.787,3.35,0.0579747
25.5809,-150.794,3.1,0.0746087
25.5768,-150.8,3.15,0.106448
25.5087,-150.904,3.25,0.0708648
25.5041,-150.911,3.4,0.117087
25.4995,-150.918,3.15,0.0701451
25.4948,-150.925,3.15,0.0580849
25.4908,-150.931,3.3,0.0828009
